Agent Index,Interacting Agent Index,Time Interval,Intensity
67,66,9.857117310137038,0.5920888806387263
39,40,2.9606587904019332,0.28799857726311495
19,48,9.933376750841031,0.5563869797724015
47,14,2.707792838677613,0.11910322049310873
97,93,7.330200583028975,0.05479876188162769
36,52,5.8053943720215395,0.5087501005692888
16,29,2.9259700624959297,0.7450077742936179
24,76,6.615452592843672,0.23066023231585764
98,1,0.6129732778252273,0.03079626452546913
52,51,4.991234253861199,0.11029211445761467
49,64,4.281211334785262,0.09369780403627248
76,15,3.110100778578777,0.16882508544803732
4,82,5.018950780821032,0.4528425446162895
25,23,1.523435869691594,0.8698275706188255
69,26,5.982815427997005,0.8195210582557968
6,69,6.002756213947941,0.47565948855915063
51,92,0.9693831534702857,0.8545362381598459
4,54,8.926690297564479,0.19650516555917197
96,37,1.0761711632578574,0.2856646294271543
56,11,6.206036904245246,0.025636240561556556
63,45,9.243970250499935,0.8459046432706034
18,80,7.21308647170134,0.18639074663509203
22,25,8.566766221711488,0.9194158046579632
46,78,9.436676144535742,0.3066038278097547
55,33,0.36786224695660175,0.46598870340260434
80,31,4.295593090845587,0.7887243574197714
74,96,9.079412546074366,0.2008470536485456
93,11,1.811367363309666,0.24854787128323197
17,45,1.3031037142786772,0.736713001093112
54,77,6.689236468914333,0.18914544406995604
48,55,6.561686523837922,0.8415382745176084
95,24,2.1199045466842223,0.3191748832651885
0,43,6.361037571365211,0.054785174673453896
0,86,0.05530006267194132,0.44722966677561227
67,8,5.108232528265227,0.0780720907027247
6,57,9.073223985113284,0.6305218263588744
16,8,6.875884563883529,0.7889755826254277
35,48,3.63455049866231,0.23653026160724466
93,72,2.726782980498262,0.7473684674491506
43,65,0.5285308238378339,0.8079994482515851
30,84,5.435250398044084,0.22794249938945577
68,66,5.812705194521447,0.3987768568223644
37,30,5.462713140719986,0.2651939540942704
17,49,9.554281145866424,0.2854383038592877
3,1,7.129363264331846,0.6332198675617925
34,66,3.7040828036302886,0.15835840507645926
39,53,8.70713280127657,0.7521303893855847
85,42,2.9065301405226784,0.4061131567948121
4,71,7.566520295016451,0.4702871038447024
25,72,3.3524932671715546,0.991241688877458
