Agent Index,Interacting Agent Index,Time Interval,Intensity
96,57,5.004142877127,0.42191921620925354
54,27,5.641672551963007,0.7462919078948316
25,8,1.794290991869778,0.8194479950290448
48,12,0.22317783046829742,0.5930024147218874
32,1,2.0332990080122935,0.9049495038090604
79,4,5.349489905495666,0.25834688605446654
16,19,7.482148590293117,0.8597260125619213
1,84,1.643656099054901,0.6492400176694979
91,92,7.539420185381803,0.1572574957436378
0,18,0.412793980070838,0.12359152155948494
27,4,2.1036845816262373,0.7556071327228134
44,93,0.5338106410878762,0.3250995579281485
7,85,2.700768270414009,0.6396363196460858
25,54,7.851908992747192,0.03235332764508547
86,18,4.264343699418963,0.03294294008400289
47,49,2.2001671472930973,0.8547969093028639
88,57,9.21067656780389,0.9149669418045047
91,60,5.954707715564772,0.5719792018299477
70,13,8.590870958001473,0.3467306495161502
39,25,3.0242832181735766,0.4138264196643887
31,32,4.446511361608556,0.3307555630717903
72,16,7.152478159718685,0.4051997279355414
51,56,5.126758363544265,0.03510071951222604
57,69,1.8038913841447546,0.6695529982166318
50,34,6.781050924626727,0.00925049088045582
9,57,2.0483981637076076,0.8150216743517682
2,46,1.9695147002286972,0.8236731954676536
76,10,3.2367032040028865,0.189359530938495
93,40,3.5290802325675985,0.5770031224285761
13,51,8.366286124001043,0.7531077788790762
3,43,4.667816904834296,0.5663977961774596
28,87,4.033038804641689,0.523226854909037
95,61,4.099665005428983,0.382169865819883
11,58,5.760839569829173,0.5331949513335849
18,26,0.09758072728262124,0.7763890421115288
13,8,3.3584379922185317,0.1863867865578278
60,60,7.177857666160996,0.10434104385849963
65,96,1.1312776613884845,0.9674134933532024
6,33,5.839416802331847,0.378146491269558
48,43,7.271644108335251,0.8995373336774743
84,81,0.43165651762144375,0.3493858177036441
17,78,4.34280471192559,0.2029239277672824
58,12,3.017355257636595,0.08158660374123372
23,76,2.964865343386526,0.0690704096811312
48,35,5.776276020339678,0.893577319760597
73,2,1.7577645470923775,0.06759772321371171
37,96,1.933497529060112,0.38664529916662904
55,16,9.506699244782125,0.5224209433841157
21,89,3.9832543315545896,0.21727916670097103
30,43,9.439600407370815,0.4025782968889513
4,94,4.0558134618401365,0.4412080905758925
83,87,0.5577932147347009,0.46357822403968507
64,17,5.698770885091612,0.3799729422257563
82,6,7.314244632540017,0.9379001142886053
51,47,4.972927027027878,0.7498405462605637
46,21,3.7018950508852324,0.5939738834476441
19,24,9.129329003202235,0.3757168235721946
78,68,9.318254737275796,0.30123710713292373
65,48,2.7578489748122936,0.7651692440439245
85,96,4.750884998198361,0.30555530537592257
44,59,3.7588664444315434,0.029012995900403737
42,53,7.965520525420933,0.500322500665823
34,89,8.137472839811998,0.10683445931853242
31,74,7.154376619192167,0.020288324506276934
14,87,5.458581884838476,0.4920008942367613
80,69,8.248995001589027,0.23526849665722827
50,21,2.5306642194391116,0.3794406316118146
61,45,5.298710794959918,0.37907685807994806
